"","polviews","race"
"12187","Moderate","Black"
"12188","Slightly Liberal","White"
"12189","Liberal","White"
"12190","Conservative","White"
"12191","Liberal","White"
"12192","Conservative","White"
"12193","Slightly Conservative","White"
"12194","Moderate","White"
"12195","Moderate","White"
"12196","Conservative","White"
"12197","Slightly Liberal","White"
"12199","Liberal","White"
"12200","Conservative","White"
"12201","Conservative","White"
"12202","Moderate","White"
"12203","Moderate","Black"
"12204","Moderate","Black"
"12205","Slightly Conservative","White"
"12206","Conservative","Other"
"12207","Conservative","White"
"12208","Liberal","Black"
"12210","Extremely Liberal","Black"
"12211","Moderate","White"
"12212","Extrmly Conservative","White"
"12213","Extrmly Conservative","White"
"12214","Slightly Conservative","White"
"12215","Moderate","Black"
"12216","Slightly Liberal","Black"
"12217","Moderate","White"
"12218","Moderate","White"
"12219","Slightly Liberal","White"
"12220","Moderate","White"
"12222","Slightly Liberal","White"
"12223","Moderate","White"
"12224","Liberal","White"
"12225","Slightly Liberal","White"
"12226","Liberal","White"
"12227","Slightly Liberal","White"
"12228","Moderate","White"
"12229","Moderate","White"
"12231","Moderate","White"
"12232","Extrmly Conservative","White"
"12233","Moderate","White"
"12234","Moderate","White"
"12235","Moderate","White"
"12236","Slightly Conservative","White"
"12237","Moderate","White"
"12238","Slightly Conservative","White"
"12239","Conservative","White"
"12240","Moderate","White"
"12241","Slightly Liberal","White"
"12242","Moderate","White"
"12243","Moderate","White"
"12244","Moderate","White"
"12245","Slightly Liberal","White"
"12246","Moderate","White"
"12247","Moderate","White"
"12248","Slightly Liberal","White"
"12249","Moderate","White"
"12250","Moderate","White"
"12251","Moderate","White"
"12252","Conservative","White"
"12253","Moderate","White"
"12254","Moderate","White"
"12255","Slightly Liberal","White"
"12256","Moderate","White"
"12257","Moderate","White"
"12258","Slightly Conservative","White"
"12259","Liberal","White"
"12261","Slightly Conservative","White"
"12262","Moderate","White"
"12263","Moderate","White"
"12264","Moderate","White"
"12265","Moderate","White"
"12266","Liberal","White"
"12267","Slightly Conservative","White"
"12268","Slightly Conservative","White"
"12269","Slightly Conservative","White"
"12270","Slightly Liberal","White"
"12271","Slightly Conservative","White"
"12272","Slightly Conservative","White"
"12273","Slightly Liberal","White"
"12274","Liberal","White"
"12275","Slightly Liberal","White"
"12276","Moderate","White"
"12277","Moderate","White"
"12278","Slightly Liberal","White"
"12279","Liberal","Black"
"12280","Moderate","Black"
"12281","Moderate","White"
"12282","Moderate","White"
"12283","Slightly Liberal","White"
"12284","Moderate","White"
"12285","Slightly Liberal","White"
"12286","Conservative","White"
"12287","Slightly Liberal","White"
"12288","Conservative","Black"
"12289","Extremely Liberal","Black"
"12290","Liberal","Black"
"12291","Slightly Conservative","Black"
"12292","Slightly Liberal","Black"
"12294","Moderate","White"
"12295","Slightly Liberal","Black"
"12296","Moderate","Black"
"12297","Liberal","White"
"12298","Liberal","White"
"12299","Moderate","White"
"12300","Liberal","White"
"12301","Liberal","White"
"12302","Liberal","Other"
"12303","Slightly Liberal","White"
"12304","Liberal","White"
"12305","Moderate","White"
"12306","Moderate","White"
"12307","Slightly Conservative","White"
"12308","Slightly Liberal","White"
"12309","Liberal","Black"
"12310","Slightly Liberal","Black"
"12311","Slightly Liberal","Black"
"12312","Slightly Liberal","Black"
"12313","Moderate","White"
"12314","Conservative","Black"
"12315","Moderate","White"
"12316","Moderate","White"
"12317","Moderate","White"
"12318","Moderate","White"
"12319","Moderate","White"
"12320","Moderate","White"
"12321","Conservative","White"
"12322","Moderate","White"
"12323","Moderate","White"
"12324","Conservative","White"
"12325","Moderate","White"
"12326","Slightly Conservative","White"
"12327","Moderate","White"
"12328","Slightly Conservative","White"
"12329","Moderate","White"
"12330","Slightly Liberal","White"
"12331","Moderate","White"
"12332","Slightly Liberal","White"
"12333","Slightly Conservative","White"
"12334","Slightly Liberal","White"
"12335","Slightly Conservative","White"
"12336","Conservative","White"
"12337","Moderate","White"
"12338","Moderate","White"
"12339","Moderate","White"
"12340","Moderate","White"
"12341","Moderate","White"
"12342","Moderate","White"
"12343","Moderate","White"
"12344","Slightly Liberal","White"
"12345","Conservative","White"
"12346","Liberal","White"
"12347","Moderate","White"
"12348","Slightly Liberal","White"
"12349","Liberal","White"
"12350","Extrmly Conservative","White"
"12351","Slightly Liberal","White"
"12352","Moderate","White"
"12353","Slightly Conservative","White"
"12354","Moderate","White"
"12355","Moderate","White"
"12356","Moderate","White"
"12357","Moderate","White"
"12358","Slightly Liberal","White"
"12359","Slightly Liberal","White"
"12360","Moderate","White"
"12361","Slightly Liberal","White"
"12362","Moderate","White"
"12363","Moderate","White"
"12364","Extrmly Conservative","White"
"12365","Conservative","White"
"12366","Slightly Conservative","White"
"12367","Moderate","White"
"12368","Slightly Conservative","White"
"12369","Moderate","White"
"12370","Slightly Liberal","White"
"12371","Slightly Liberal","White"
"12372","Slightly Conservative","White"
"12373","Slightly Liberal","White"
"12374","Moderate","White"
"12376","Slightly Liberal","White"
"12377","Moderate","White"
"12378","Slightly Liberal","White"
"12379","Liberal","White"
"12380","Moderate","White"
"12381","Moderate","White"
"12382","Moderate","White"
"12383","Slightly Conservative","White"
"12384","Moderate","White"
"12385","Liberal","White"
"12386","Moderate","White"
"12387","Conservative","White"
"12388","Conservative","White"
"12389","Moderate","White"
"12390","Slightly Liberal","Black"
"12391","Slightly Liberal","White"
"12392","Moderate","White"
"12393","Moderate","White"
"12394","Slightly Liberal","White"
"12395","Moderate","White"
"12396","Extremely Liberal","White"
"12397","Conservative","White"
"12398","Slightly Liberal","White"
"12399","Moderate","White"
"12400","Slightly Liberal","White"
"12401","Moderate","White"
"12402","Moderate","White"
"12403","Extrmly Conservative","White"
"12404","Liberal","White"
"12405","Moderate","White"
"12406","Moderate","White"
"12407","Moderate","White"
"12408","Moderate","White"
"12409","Liberal","White"
"12410","Liberal","White"
"12411","Conservative","White"
"12412","Slightly Liberal","White"
"12413","Conservative","White"
"12414","Moderate","White"
"12415","Slightly Liberal","White"
"12416","Moderate","White"
"12417","Liberal","White"
"12418","Moderate","Black"
"12419","Extremely Liberal","Black"
"12420","Moderate","White"
"12422","Slightly Conservative","White"
"12423","Extrmly Conservative","White"
"12424","Conservative","White"
"12425","Moderate","White"
"12426","Liberal","White"
"12427","Slightly Conservative","White"
"12429","Moderate","Black"
"12430","Liberal","Black"
"12432","Slightly Conservative","Black"
"12433","Moderate","Black"
"12434","Conservative","White"
"12435","Slightly Conservative","White"
"12436","Slightly Liberal","White"
"12437","Liberal","Black"
"12438","Moderate","White"
"12439","Slightly Liberal","Black"
"12440","Conservative","White"
"12441","Slightly Conservative","White"
"12442","Slightly Liberal","White"
"12443","Slightly Conservative","White"
"12444","Moderate","White"
"12445","Slightly Liberal","Black"
"12446","Slightly Conservative","Black"
"12448","Slightly Conservative","Black"
"12449","Slightly Conservative","White"
"12451","Slightly Conservative","White"
"12452","Moderate","White"
"12453","Conservative","White"
"12454","Moderate","White"
"12455","Conservative","White"
"12456","Slightly Conservative","White"
"12457","Moderate","White"
"12458","Liberal","White"
"12459","Conservative","White"
"12460","Liberal","White"
"12461","Slightly Liberal","White"
"12462","Slightly Liberal","White"
"12463","Moderate","White"
"12464","Extrmly Conservative","White"
"12465","Slightly Liberal","White"
"12466","Moderate","White"
"12467","Moderate","White"
"12469","Conservative","White"
"12470","Moderate","White"
"12471","Moderate","White"
"12472","Extrmly Conservative","White"
"12473","Slightly Liberal","White"
"12474","Liberal","White"
"12475","Slightly Conservative","White"
"12476","Slightly Conservative","White"
"12477","Moderate","White"
"12478","Conservative","Black"
"12479","Moderate","Black"
"12480","Slightly Conservative","Black"
"12481","Extremely Liberal","Black"
"12482","Slightly Liberal","Black"
"12483","Slightly Liberal","White"
"12484","Moderate","White"
"12485","Slightly Conservative","White"
"12486","Extrmly Conservative","Other"
"12487","Extrmly Conservative","White"
"12488","Moderate","White"
"12489","Moderate","White"
"12490","Moderate","White"
"12491","Moderate","White"
"12492","Liberal","White"
"12493","Conservative","White"
"12494","Moderate","White"
"12495","Slightly Conservative","White"
"12496","Liberal","White"
"12497","Liberal","White"
"12499","Conservative","White"
"12500","Moderate","White"
"12501","Moderate","White"
"12502","Moderate","White"
"12503","Conservative","Other"
"12504","Conservative","Other"
"12505","Moderate","White"
"12506","Conservative","White"
"12507","Moderate","Black"
"12508","Extremely Liberal","Black"
"12509","Moderate","Black"
"12510","Slightly Liberal","Black"
"12511","Slightly Conservative","Black"
"12512","Moderate","White"
"12513","Moderate","White"
"12514","Extrmly Conservative","White"
"12515","Moderate","White"
"12516","Moderate","White"
"12517","Extremely Liberal","White"
"12518","Slightly Conservative","Black"
"12519","Moderate","Black"
"12520","Slightly Liberal","White"
"12521","Moderate","White"
"12522","Slightly Conservative","White"
"12523","Moderate","White"
"12524","Slightly Conservative","White"
"12525","Slightly Conservative","White"
"12526","Conservative","White"
"12527","Moderate","White"
"12528","Moderate","White"
"12529","Slightly Conservative","White"
"12530","Slightly Conservative","White"
"12531","Moderate","White"
"12532","Slightly Conservative","White"
"12533","Moderate","White"
"12534","Slightly Liberal","White"
"12535","Moderate","White"
"12536","Slightly Liberal","White"
"12537","Moderate","White"
"12538","Moderate","White"
"12539","Slightly Conservative","White"
"12540","Moderate","White"
"12541","Conservative","White"
"12542","Slightly Conservative","White"
"12543","Conservative","White"
"12544","Extrmly Conservative","White"
"12545","Moderate","White"
"12546","Moderate","White"
"12547","Moderate","White"
"12548","Moderate","Other"
"12549","Slightly Conservative","White"
"12550","Slightly Liberal","White"
"12551","Moderate","White"
"12552","Conservative","White"
"12553","Moderate","White"
"12554","Conservative","Other"
"12555","Liberal","Other"
"12556","Moderate","White"
"12557","Moderate","White"
"12558","Slightly Liberal","White"
"12559","Moderate","White"
"12560","Conservative","White"
"12561","Extrmly Conservative","White"
"12562","Moderate","White"
"12563","Extremely Liberal","Black"
"12564","Slightly Conservative","Black"
"12565","Extrmly Conservative","Black"
"12566","Liberal","White"
"12567","Moderate","White"
"12568","Slightly Liberal","White"
"12569","Extremely Liberal","White"
"12570","Slightly Liberal","White"
"12571","Moderate","White"
"12572","Moderate","White"
"12573","Slightly Liberal","White"
"12574","Moderate","Other"
"12575","Slightly Liberal","Black"
"12576","Moderate","White"
"12577","Moderate","White"
"12578","Moderate","White"
"12579","Moderate","White"
"12580","Slightly Conservative","White"
"12581","Conservative","White"
"12582","Moderate","White"
"12583","Moderate","Other"
"12584","Liberal","White"
"12585","Slightly Liberal","White"
"12586","Conservative","White"
"12587","Slightly Conservative","White"
"12588","Conservative","White"
"12589","Slightly Conservative","White"
"12590","Moderate","White"
"12591","Slightly Liberal","White"
"12592","Moderate","White"
"12593","Extrmly Conservative","White"
"12594","Slightly Liberal","White"
"12595","Conservative","White"
"12596","Conservative","White"
"12597","Slightly Liberal","White"
"12598","Moderate","White"
"12599","Slightly Liberal","White"
"12600","Slightly Liberal","White"
"12602","Moderate","White"
"12603","Conservative","White"
"12605","Moderate","White"
"12606","Liberal","White"
"12607","Slightly Conservative","White"
"12608","Slightly Liberal","White"
"12609","Extrmly Conservative","White"
